Target,Actual,Predicted,Residual
Ra,5.366,5.369,-0.003
Ra,5.366,5.3943,-0.0283
Ra,5.309,5.4532,-0.1442
Ra,5.366,5.4052,-0.0392
Ra,5.223,5.5976,-0.3746
Ra,5.341,5.2706,0.0704
Ra,5.614,5.6509,-0.0369
Ra,5.319,5.3425,-0.0235
Ra,5.423,5.659,-0.236
Ra,5.81,5.8495,-0.0395
Ra,5.115,5.4129,-0.2979
Ra,4.876,5.3681,-0.4921
Ra,5.959,5.7568,0.2022
Ra,5.959,5.7801,0.1789
Ra,5.959,5.5815,0.3775
Ra,5.073,5.2123,-0.1393
Ra,5.093,5.3045,-0.2115
Ra,5.318,5.3696,-0.0516
Ra,5.186,5.3045,-0.1185
Ra,5.189,5.2197,-0.0307
Ra,4.745,5.2999,-0.5549
Ra,4.851,5.2892,-0.4382
Ra,4.923,5.4694,-0.5464
Ra,4.863,5.0359,-0.1729
Ra,5.586,5.3523,0.2337
Ra,5.429,5.4077,0.0213
Ra,5.337,5.2867,0.0503
Ra,4.926,5.3745,-0.4485
Ra,5.272,5.3245,-0.0525
Ra,5.771,5.2838,0.4872
Ra,5.916,5.8302,0.0858
Ra,5.05,5.6122,-0.5622
Ra,6.636,6.5044,0.1316
Ra,5.879,5.9991,-0.1201
Ra,5.504,5.536,-0.032
Ra,5.392,5.5398,-0.1478
Ra,6.676,6.0487,0.6273
Ra,5.947,5.6607,0.2863
Ra,5.455,5.5977,-0.1427
Ra,5.341,5.2505,0.0905
Ra,5.417,5.5138,-0.0968
Ra,6.025,5.6813,0.3437
Ra,5.421,5.5745,-0.1535
Ra,6.045,5.4988,0.5462
Ra,5.39,5.5958,-0.2058
Ra,5.39,5.5769,-0.1869
Ra,5.691,5.8115,-0.1205
Ra,5.407,5.5679,-0.1609
Ra,5.653,5.4931,0.1599
Ra,4.871,5.3652,-0.4942
Ra,5.811,5.7925,0.0185
Ra,5.285,5.826,-0.541
Ra,5.441,5.7775,-0.3365
Ra,5.661,5.7756,-0.1146
Ra,5.518,5.5944,-0.0764
Ra,6.128,5.9127,0.2153
Ra,5.945,5.5977,0.3473
Ra,5.311,5.6326,-0.3216
Ra,5.945,5.5785,0.3665
Ra,5.377,5.5171,-0.1401
Ra,5.841,5.6863,0.1547
Ra,5.519,5.3873,0.1317
Ra,5.544,5.5498,-0.0058
Ra,6.187,6.6939,-0.5069
Ra,6.098,6.4589,-0.3609
Ra,6.217,6.3673,-0.1503
Ra,6.18,6.5252,-0.3452
Ra,6.172,6.6767,-0.5047
Ra,6.085,6.4177,-0.3327
Ra,6.178,6.0844,0.0936
Ra,6.178,6.1041,0.0739
Ra,6.105,6.7009,-0.5959
Ra,6.696,6.4528,0.2432
Ra,7.082,6.7488,0.3332
Ra,6.688,6.5082,0.1798
Ra,6.703,6.2866,0.4164
Ra,6.667,6.4527,0.2143
Ra,6.692,6.5077,0.1843
Ra,6.679,6.4824,0.1966
Ra,6.748,6.4005,0.3475
Ra,6.718,6.4741,0.2439
Ra,6.608,6.5197,0.0883
Ra,6.713,6.3563,0.3567
Ra,6.771,6.3906,0.3804
Ra,6.99,6.6433,0.3467
Ra,7.146,6.6777,0.4683
Ra,7.142,6.7164,0.4256
Ra,7.234,6.6968,0.5372
Ra,6.688,6.7448,-0.0568
Ra,7.004,6.5809,0.4231
Ra,6.72,6.6339,0.0861
Ra,6.653,6.6836,-0.0306
Ra,7.372,6.9038,0.4682
Ra,6.99,6.5604,0.4296
Ra,6.875,6.5489,0.3261
Ra,7.084,6.5618,0.5222
Ra,6.702,6.6385,0.0635
Ra,8.015,7.6789,0.3361
Ra,6.805,6.2482,0.5568
Ra,6.826,6.2892,0.5368
Ra,6.984,6.5325,0.4515
Ra,6.896,6.502,0.394
Ra,7.069,6.4805,0.5885
Ra,6.36,6.5116,-0.1516
Ra,7.084,6.52,0.564
Ra,7.048,6.2761,0.7719
Ra,6.992,6.5341,0.4579
Ra,6.93,6.5003,0.4297
Ra,6.773,6.2716,0.5014
Ra,6.691,6.8065,-0.1155
Ra,7.561,7.4014,0.1596
Ra,6.582,6.8259,-0.2439
Ra,7.046,7.179,-0.133
Ra,7.171,7.1314,0.0396
Ra,7.203,7.0848,0.1182
Ra,7.26,7.1162,0.1438
Ra,7.654,7.1211,0.5329
Ra,7.077,7.12,-0.043
Ra,8.33,8.0274,0.3026
Ra,6.526,6.6432,-0.1172
Ra,6.539,6.5133,0.0257
Ra,6.282,6.3061,-0.0241
Ra,6.435,6.4484,-0.0134
Ra,6.029,6.6168,-0.5878
Ra,6.215,6.5199,-0.3049
Ra,6.181,6.1555,0.0255
Ra,6.857,6.6161,0.2409
Ra,6.069,6.5331,-0.4641
Ra,6.857,6.6614,0.1956
Ra,5.72,5.7396,-0.0196
Ra,5.081,5.5366,-0.4556
Ra,5.749,5.6127,0.1363
Ra,5.41,5.7066,-0.2966
Ra,5.287,5.4926,-0.2056
Ra,5.556,5.5293,0.0267
Ra,5.403,5.479,-0.076
Ra,5.647,5.6322,0.0148
Ra,5.271,5.5577,-0.2867
Ra,5.789,5.7315,0.0575
Ra,5.722,5.6374,0.0846
Ra,5.261,5.368,-0.107
Ra,5.658,5.6138,0.0442
Ra,5.456,5.3243,0.1317
Ra,5.905,5.875,0.03
Ra,5.41,5.4838,-0.0738
Ra,5.204,5.4825,-0.2785
Ra,5.645,5.5227,0.1223
Ra,5.918,5.6079,0.3101
Ra,5.751,5.5631,0.1879
