Target,Feature,Label,SHAP_value,Feature_value
Ra,f,Fo2 (f),-0.0617,-0.4472
Ra,f,Fo2 (f),-0.0651,-0.4472
Ra,f,Fo2 (f),-0.0663,-0.4472
Ra,f,Fo2 (f),-0.0843,-0.4472
Ra,f,Fo2 (f),-0.0613,-0.4472
Ra,f,Fo2 (f),-0.0638,-0.4472
Ra,f,Fo2 (f),-0.0727,-0.4472
Ra,f,Fo2 (f),-0.0646,-0.4472
Ra,f,Fo2 (f),-0.0722,-0.4472
Ra,f,Fo2 (f),-0.0824,-0.4472
Ra,f,Fo2 (f),-0.0944,-0.4472
Ra,f,Fo2 (f),-0.0918,-0.4472
Ra,f,Fo2 (f),-0.0858,-0.4472
Ra,f,Fo2 (f),-0.0863,-0.4472
Ra,f,Fo2 (f),-0.0876,-0.4472
Ra,f,Fo2 (f),-0.0879,-0.4472
Ra,f,Fo2 (f),-0.077,-0.4472
Ra,f,Fo2 (f),-0.0864,-0.4472
Ra,f,Fo2 (f),-0.0874,-0.4472
Ra,f,Fo2 (f),-0.0875,-0.4472
Ra,f,Fo2 (f),-0.0824,-0.4472
Ra,f,Fo2 (f),-0.0815,-0.4472
Ra,f,Fo2 (f),-0.0839,-0.4472
Ra,f,Fo2 (f),-0.1044,-0.4472
Ra,f,Fo2 (f),-0.0811,-0.4472
Ra,f,Fo2 (f),-0.0723,-0.4472
Ra,f,Fo2 (f),-0.0881,-0.4472
Ra,f,Fo2 (f),-0.0935,-0.4472
Ra,f,Fo2 (f),-0.0954,-0.4472
Ra,f,Fo2 (f),-0.1025,-0.4472
Ra,f,Fo2 (f),0.0097,0.4472
Ra,f,Fo2 (f),0.0331,0.4472
Ra,f,Fo2 (f),0.0246,0.4472
Ra,f,Fo2 (f),0.0474,0.4472
Ra,f,Fo2 (f),0.035,0.4472
Ra,f,Fo2 (f),0.0294,0.4472
Ra,f,Fo2 (f),0.0311,0.4472
Ra,f,Fo2 (f),0.0139,0.4472
Ra,f,Fo2 (f),0.022,0.4472
Ra,f,Fo2 (f),0.059,0.4472
Ra,f,Fo2 (f),-0.0138,0.4472
Ra,f,Fo2 (f),0.0095,0.4472
Ra,f,Fo2 (f),0.0353,0.4472
Ra,f,Fo2 (f),0.017,0.4472
Ra,f,Fo2 (f),0.0127,0.4472
Ra,f,Fo2 (f),0.0016,0.4472
Ra,f,Fo2 (f),0.0112,0.4472
Ra,f,Fo2 (f),0.0272,0.4472
Ra,f,Fo2 (f),0.0493,0.4472
Ra,f,Fo2 (f),-0.06,0.4472
Ra,f,Fo2 (f),-0.0419,0.4472
Ra,f,Fo2 (f),0.0043,0.4472
Ra,f,Fo2 (f),-0.0124,0.4472
Ra,f,Fo2 (f),-0.0129,0.4472
Ra,f,Fo2 (f),0.0776,0.4472
Ra,f,Fo2 (f),0.0345,0.4472
Ra,f,Fo2 (f),-0.0081,0.4472
Ra,f,Fo2 (f),0.0467,0.4472
Ra,f,Fo2 (f),-0.0079,0.4472
Ra,f,Fo2 (f),-0.0549,0.4472
Ra,f,Fo2 (f),0.0364,0.4472
Ra,f,Fo2 (f),0.0223,0.4472
Ra,f,Fo2 (f),0.0462,0.4472
Ra,f,Fo2 (f),0.1617,1.3416
Ra,f,Fo2 (f),0.0988,1.3416
Ra,f,Fo2 (f),0.1851,1.3416
Ra,f,Fo2 (f),0.1772,1.3416
Ra,f,Fo2 (f),0.1703,1.3416
Ra,f,Fo2 (f),0.1395,1.3416
Ra,f,Fo2 (f),0.1858,1.3416
Ra,f,Fo2 (f),0.1698,1.3416
Ra,f,Fo2 (f),0.2141,1.3416
Ra,f,Fo2 (f),0.1501,1.3416
Ra,f,Fo2 (f),0.2089,1.3416
Ra,f,Fo2 (f),0.1752,1.3416
Ra,f,Fo2 (f),0.1614,1.3416
Ra,f,Fo2 (f),0.1551,1.3416
Ra,f,Fo2 (f),0.0626,1.3416
Ra,f,Fo2 (f),0.1825,1.3416
Ra,f,Fo2 (f),0.1674,1.3416
Ra,f,Fo2 (f),0.1503,1.3416
Ra,f,Fo2 (f),0.1907,1.3416
Ra,f,Fo2 (f),0.2047,1.3416
Ra,f,Fo2 (f),0.1651,1.3416
Ra,f,Fo2 (f),0.2516,1.3416
Ra,f,Fo2 (f),0.2008,1.3416
Ra,f,Fo2 (f),0.1562,1.3416
Ra,f,Fo2 (f),0.1933,1.3416
Ra,f,Fo2 (f),0.1589,1.3416
Ra,f,Fo2 (f),0.1745,1.3416
Ra,f,Fo2 (f),0.1744,1.3416
Ra,f,Fo2 (f),0.1987,1.3416
Ra,f,Fo2 (f),0.2048,1.3416
Ra,f,Fo2 (f),0.2197,1.3416
Ra,f,Fo2 (f),0.1942,1.3416
Ra,f,Fo2 (f),0.2179,1.3416
Ra,P,Fo6 (P),-0.0726,-1.3812
Ra,P,Fo6 (P),-0.0787,-1.3648
Ra,P,Fo6 (P),-0.0705,-1.3429
Ra,P,Fo6 (P),-0.0519,-1.3648
Ra,P,Fo6 (P),-0.0809,-1.3483
Ra,P,Fo6 (P),-0.0735,-1.3593
Ra,P,Fo6 (P),-0.0896,-1.31
Ra,P,Fo6 (P),-0.0724,-1.3209
Ra,P,Fo6 (P),-0.0691,-1.4469
Ra,P,Fo6 (P),-0.0568,-1.299
Ra,P,Fo6 (P),-0.0928,-1.3374
Ra,P,Fo6 (P),-0.0827,-1.2826
Ra,P,Fo6 (P),-0.0504,-1.3429
Ra,P,Fo6 (P),-0.1029,-1.4469
Ra,P,Fo6 (P),-0.109,-1.3757
Ra,P,Fo6 (P),-0.0989,-1.2662
Ra,P,Fo6 (P),-0.1008,-1.3702
Ra,P,Fo6 (P),-0.1073,-1.3757
Ra,P,Fo6 (P),-0.1131,-1.3648
Ra,P,Fo6 (P),-0.1398,-1.3374
Ra,P,Fo6 (P),-0.0653,-1.3374
Ra,P,Fo6 (P),-0.0611,-1.3538
Ra,P,Fo6 (P),-0.0915,-1.2552
Ra,P,Fo6 (P),-0.0531,-1.299
Ra,P,Fo6 (P),-0.0824,-1.2388
Ra,P,Fo6 (P),-0.097,-1.2497
