Target,Actual,Predicted,Residual
Ra,6.16,6.4898,-0.3298
Ra,5.844,6.0874,-0.2434
Ra,6.532,6.168,0.364
Ra,6.018,6.3001,-0.2821
Ra,6.532,6.3308,0.2012
Ra,6.782,6.7359,0.0461
Ra,6.827,6.6627,0.1643
Ra,5.979,5.8043,0.1747
Ra,6.376,6.6762,-0.3002
Ra,6.39,6.4088,-0.0188
Ra,7.545,6.9578,0.5872
Ra,6.786,7.0996,-0.3136
Ra,6.902,6.8409,0.0611
Ra,6.861,7.0659,-0.2049
Ra,6.492,6.4824,0.0096
Ra,7.146,7.3236,-0.1776
Ra,7.585,7.7648,-0.1798
Ra,6.706,6.6049,0.1011
Ra,6.728,6.8352,-0.1072
Ra,6.592,6.7744,-0.1824
Ra,6.798,6.6074,0.1906
Ra,6.924,6.9014,0.0226
Ra,6.47,6.5585,-0.0885
Ra,6.784,6.8154,-0.0314
Ra,6.957,7.1778,-0.2208
Ra,6.879,7.0778,-0.1988
Ra,6.771,6.8095,-0.0385
Ra,7.336,7.1774,0.1586
Ra,6.981,6.6746,0.3064
Ra,7.202,7.459,-0.257
Ra,6.9,6.9031,-0.0031
Ra,7.448,6.9605,0.4875
Ra,6.974,6.9807,-0.0067
Ra,6.594,6.8407,-0.2467
Ra,6.577,6.6497,-0.0727
Ra,6.722,6.9651,-0.2431
Ra,6.989,6.6784,0.3106
Ra,6.982,7.0998,-0.1178
Ra,6.97,7.0712,-0.1012
Ra,7.008,6.9139,0.0941
Ra,6.93,6.9713,-0.0413
Ra,7.274,7.4615,-0.1875
Ra,7.381,7.5332,-0.1522
Ra,5.039,5.0909,-0.0519
Ra,5.273,5.1655,0.1075
Ra,4.999,5.0498,-0.0508
Ra,5.124,5.1176,0.0064
Ra,5.729,5.6354,0.0936
Ra,5.564,5.469,0.095
Ra,5.239,5.1469,0.0921
Ra,5.436,5.4961,-0.0601
Ra,5.457,5.3393,0.1177
Ra,5.065,5.0886,-0.0236
Ra,5.576,5.5511,0.0249
Ra,5.604,5.5513,0.0527
Ra,5.534,5.6248,-0.0908
Ra,5.243,5.0829,0.1601
Ra,4.888,5.0507,-0.1627
Ra,5.664,5.6206,0.0434
Ra,5.355,5.2993,0.0557
Ra,4.958,5.0517,-0.0937
Ra,5.475,5.4527,0.0223
Ra,5.578,5.4576,0.1204
Ra,5.017,5.0749,-0.0579
Ra,5.609,5.635,-0.026
Ra,5.143,5.1097,0.0333
Ra,5.64,5.7674,-0.1274
Ra,5.201,5.2216,-0.0206
Ra,5.641,5.6746,-0.0336
Ra,5.807,5.6814,0.1256
Ra,5.401,5.2937,0.1073
Ra,6.025,5.6279,0.3971
Ra,5.154,5.227,-0.073
Ra,5.012,5.2143,-0.2023
Ra,5.309,5.5992,-0.2902
Ra,5.032,5.0507,-0.0187
Ra,6.184,6.1127,0.0713
Ra,6.055,6.1005,-0.0455
Ra,6.557,6.4175,0.1395
Ra,6.224,6.377,-0.153
Ra,6.425,6.2352,0.1898
Ra,6.049,5.9542,0.0948
Ra,5.657,5.5666,0.0904
Ra,6.154,6.3623,-0.2083
Ra,6.314,6.0786,0.2354
Ra,6.293,6.2686,0.0244
Ra,6.085,6.0623,0.0227
Ra,5.685,5.6825,0.0025
Ra,5.837,5.9284,-0.0914
Ra,6.173,5.9626,0.2104
