Target,Feature,Label,Grid_value,Avg_prediction
Lp,P,Fo6 (P),-0.7598,79.1437
Lp,P,Fo6 (P),-0.6899,79.1972
Lp,P,Fo6 (P),-0.62,79.1867
Lp,P,Fo6 (P),-0.5501,79.1068
Lp,P,Fo6 (P),-0.4802,79.0621
Lp,P,Fo6 (P),-0.4104,79.0188
Lp,P,Fo6 (P),-0.3405,79.1803
Lp,P,Fo6 (P),-0.2706,79.3694
Lp,P,Fo6 (P),-0.2007,79.4106
Lp,P,Fo6 (P),-0.1308,79.6923
Lp,P,Fo6 (P),-0.061,83.0446
Lp,P,Fo6 (P),0.0089,82.6039
Lp,P,Fo6 (P),0.0788,83.1194
Lp,P,Fo6 (P),0.1487,83.0744
Lp,P,Fo6 (P),0.2186,83.1824
Lp,P,Fo6 (P),0.2884,82.9133
Lp,P,Fo6 (P),0.3583,82.9178
Lp,P,Fo6 (P),0.4282,83.1624
Lp,P,Fo6 (P),0.4981,83.2668
Lp,P,Fo6 (P),0.568,83.2905
Lp,P,Fo6 (P),0.6379,83.31
Lp,P,Fo6 (P),0.7077,83.31
Lp,P,Fo6 (P),0.7776,83.499
Lp,P,Fo6 (P),0.8475,83.8394
Lp,P,Fo6 (P),0.9174,83.5188
Lp,P,Fo6 (P),0.9873,83.0964
Lp,P,Fo6 (P),1.0571,83.2569
Lp,P,Fo6 (P),1.127,83.7318
Lp,P,Fo6 (P),1.1969,83.6511
Lp,P,Fo6 (P),1.2668,83.2156
Lp,P,Fo6 (P),1.3367,83.7031
Lp,P,Fo6 (P),1.4065,83.7946
Lp,P,Fo6 (P),1.4764,83.3366
Lp,P,Fo6 (P),1.5463,84.1148
Lp,P,Fo6 (P),1.6162,84.3925
Lp,P,Fo6 (P),1.6861,84.365
Lp,P,Fo6 (P),1.7559,84.5876
Lp,P,Fo6 (P),1.8258,84.4191
