Target,Feature,Label,SHAP_value,Feature_value
Ra,P,Fo6 (P),-0.2566,-0.3332
Ra,P,Fo6 (P),-0.0688,-0.3274
Ra,P,Fo6 (P),-0.0622,-0.4261
Ra,P,Fo6 (P),-0.0604,-0.4319
Ra,P,Fo6 (P),-0.0597,-0.4493
Ra,P,Fo6 (P),-0.1011,-0.3913
Ra,P,Fo6 (P),-0.0946,-0.4145
Ra,P,Fo6 (P),-0.0877,-0.3681
Ra,P,Fo6 (P),-0.2366,-0.3681
Ra,P,Fo6 (P),-0.0705,-0.4029
Ra,P,Fo6 (P),-0.2029,-0.4261
Ra,P,Fo6 (P),-0.08,-0.3797
Ra,P,Fo6 (P),-0.0788,-0.3797
Ra,P,Fo6 (P),-0.0768,-0.3565
Ra,P,Fo6 (P),-0.0726,-0.2868
Ra,P,Fo6 (P),-0.077,-0.2636
Ra,P,Fo6 (P),-0.1123,-0.31
Ra,P,Fo6 (P),-0.102,-0.2288
Ra,P,Fo6 (P),-0.0688,-0.2404
Ra,P,Fo6 (P),-0.0245,-0.1301
Ra,P,Fo6 (P),-0.0804,-0.2694
Ra,P,Fo6 (P),-0.0359,-0.1881
Ra,P,Fo6 (P),-0.0873,-0.3158
Ra,P,Fo6 (P),-0.0738,-0.2056
Ra,P,Fo6 (P),-0.0233,-0.1649
Ra,P,Fo6 (P),0.0125,-0.1475
Ra,P,Fo6 (P),-0.0972,-0.2172
Ra,P,Fo6 (P),-0.1192,-0.2578
Ra,P,Fo6 (P),-0.0807,-0.2346
Ra,P,Fo6 (P),-0.0243,-0.1533
Ra,P,Fo6 (P),-0.0263,-0.1707
Ra,P,Fo6 (P),-0.089,-0.2926
Ra,P,Fo6 (P),-0.0739,-0.2056
Ra,P,Fo6 (P),0.023,-0.1591
Ra,P,Fo6 (P),0.0324,-0.1591
Ra,P,Fo6 (P),0.0148,-0.1475
Ra,P,Fo6 (P),0.0381,-0.0895
Ra,P,Fo6 (P),0.0249,-0.1069
Ra,P,Fo6 (P),-0.0281,-0.2056
Ra,P,Fo6 (P),-0.0368,-0.2404
Ra,P,Fo6 (P),0.0073,-0.1823
Ra,P,Fo6 (P),-0.0377,-0.2114
Ra,P,Fo6 (P),-0.0328,-0.2346
Ra,P,Fo6 (P),-0.0364,-0.223
Ra,P,Fo6 (P),-0.0401,-0.2346
Ra,P,Fo6 (P),0.0003,-0.1881
Ra,P,Fo6 (P),-0.0387,-0.2636
Ra,P,Fo6 (P),-0.0447,-0.2578
Ra,P,Fo6 (P),-0.0561,-0.3797
Ra,P,Fo6 (P),-0.0519,-0.3274
Ra,P,Fo6 (P),0.0262,-0.1533
Ra,P,Fo6 (P),0.0254,-0.1591
Ra,P,Fo6 (P),0.028,-0.1359
Ra,P,Fo6 (P),0.0271,-0.1417
Ra,P,Fo6 (P),-0.0084,-0.0547
Ra,P,Fo6 (P),0.0117,-0.1649
Ra,P,Fo6 (P),-0.0338,-0.223
